Game_Id,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,Developer,Rating
49167,Wii Sports,Wii,2006,Sports,Nintendo,76,51,8,Nintendo,E
52840,Super Mario Bros.,NES,1985,Platform,Nintendo,72,24,7.5,Big Red Button Entertainment,T
93224,Mario Kart Wii,Wii,2008,Racing,Nintendo,82,73,8.3,Nintendo,E
33629,Wii Sports Resort,Wii,2009,Sports,Nintendo,80,73,8,Nintendo,E
86706,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,72,24,7.5,Takara,E
96335,Tetris,GB,1989,Puzzle,Nintendo,72,24,7.5,Kheops Studio,RP
73907,New Super Mario Bros.,DS,2006,Platform,Nintendo,89,65,8.5,Nintendo,E
33576,Wii Play,Wii,2006,Misc,Nintendo,58,41,6.6,Nintendo,E
93895,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,80,8.4,Nintendo,E
76845,Duck Hunt,NES,1984,Shooter,Nintendo,72,24,7.5,Taniko,K-A
63562,Nintendogs,DS,2005,Simulation,Nintendo,72,24,7.5,Human Entertainment,T
26322,Mario Kart DS,DS,2005,Racing,Nintendo,91,64,8.6,Nintendo,E
38167,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,72,24,7.5,Sega AM3,T
64262,Wii Fit,Wii,2007,Sports,Nintendo,80,63,7.7,Nintendo,E
80118,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,45,6.3,Good Science Studio,E
99527,Wii Fit Plus,Wii,2009,Sports,Nintendo,80,33,7.4,Nintendo,E
19550,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,50,8.2,Rockstar North,M
87762,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,80,9,Rockstar North,M
17704,Super Mario World,SNES,1990,Platform,Nintendo,72,24,7.5,"Square Enix, Tri-Ace",K-A
19367,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,58,7.9,Nintendo,E
54312,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,72,24,7.5,Human Soft,K-A
98432,Super Mario Land,GB,1989,Platform,Nintendo,72,24,7.5,CAProduction,E10+
91105,Super Mario Bros. 3,NES,1988,Platform,Nintendo,72,24,7.5,"Next Level Games, Nintendo",M
50799,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,58,8.1,Rockstar North,M
18456,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,62,8.7,Rockstar North,M
65023,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,72,24,7.5,"Majesco Games, Majesco",T
39064,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,37,7.1,Nintendo,E
55025,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,72,24,7.5,Asobo Studio,M
19832,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,54,8.4,Polyphony Digital,E
57116,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,81,3.4,"Infinity Ward, Sledgehammer Games",M
64109,Pok̩mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,72,24,7.5,Humongous Entertainment,AO
19381,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,72,24,7.5,EA Vancouver,M
17563,Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,89,6.3,Treyarch,M
43682,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,72,24,7.5,Tantatus,E
70150,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,21,5.3,Treyarch,M
55402,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,73,4.8,Treyarch,M
71663,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,100,6.3,Infinity Ward,M
88783,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,39,3.2,"Infinity Ward, Sledgehammer Games",M
92715,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,56,8.5,DMA Design,M
60095,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,81,8.9,Game Arts,T
12434,Mario Kart 7,3DS,2011,Racing,Nintendo,85,73,8.2,"Retro Studios, Entertainment Analysis & Development Division",E
13662,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,58,6.4,Treyarch,M
99163,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,66,8.3,Rockstar North,M
66781,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,57,8.7,Nintendo,E
50272,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,86,7.8,"Bungie Software, Bungie",M
53008,Super Mario 64,N64,1996,Platform,Nintendo,72,24,7.5,Bongfish,AO
12677,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,72,24,7.5,2015,M
44697,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,72,24,7.5,Mad Catz,T
38467,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,74,8.5,Polyphony Digital,E
16014,Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,73,8.9,Nintendo,E
95640,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,72,24,7.5,Turn 10,RP
49557,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,86,7.9,Rockstar North,M
78048,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,16,8.7,Polyphony Digital,E
89315,Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,82,8.4,Nintendo,E
46721,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,82,7.5,Polyphony Digital,E
25450,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,67,6.3,Infinity Ward,M
72707,Super Mario All-Stars,SNES,1993,Platform,Nintendo,72,24,7.5,Studio Saizensen,M
23318,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,64,7.5,Rockstar North,M
20857,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,72,24,7.5,ProSoft,T
38196,Super Mario 64,DS,2004,Platform,Nintendo,72,24,7.5,Playstos Entertainment,AO
87287,Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,29,2.6,Infinity Ward,M
63261,Just Dance 3,Wii,2011,Misc,Ubisoft,74,15,7.8,Ubisoft,E10+
79916,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,70,7.2,Nintendo,E
48180,Mario Kart 64,N64,1996,Racing,Nintendo,72,24,7.5,"Rovio Mobile, Rovio Entertainment",T
93445,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,99,7.9,Bungie,M
76600,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,20,9.2,SquareSoft,T
68866,Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,87,7,343 Industries,M
