,id_product,id_localisation,id_temps,sales,mean_score_critic,mean_score_user
0,49167,1,1,41.49,76,8.0
1,73907,1,1,11.38,89,8.5
2,33576,1,1,14.03,58,6.6
3,54312,1,1,6.42,72,7.5
4,70689,1,1,3.83,95,9.0
5,23400,1,1,3.54,94,8.3
6,54455,1,1,1.88,92,7.6
7,92955,1,1,3.13,67,7.2
8,58500,1,1,3.81,92,8.5
9,51753,1,1,1.7,86,8.0
10,37785,1,1,3.63,84,8.2
11,25431,1,1,0.1,86,8.9
12,13755,1,1,2.82,94,8.7
13,27180,1,1,1.73,86,8.1
14,18029,1,1,2.45,85,8.7
15,79709,1,1,0.71,72,7.5
16,92575,1,1,1.53,84,7.4
17,23297,1,1,1.56,78,7.8
18,47682,1,1,0.59,83,8.4
19,20982,1,1,0.0,72,7.5
20,27536,1,1,0.91,81,7.8
21,41212,1,1,0.87,83,7.4
22,20898,1,1,1.47,81,7.4
23,88591,1,1,1.49,82,6.5
24,86494,1,1,1.85,84,9.0
25,27804,1,1,1.59,72,7.5
26,98320,1,1,0.86,71,7.9
27,33008,1,1,0.76,72,7.5
28,58840,1,1,1.4,80,8.6
29,77608,1,1,2.29,82,7.5
30,87112,1,1,0.87,73,7.9
31,76618,1,1,1.07,74,5.7
32,86945,1,1,1.06,72,7.5
33,91007,1,1,1.17,81,7.5
34,48735,1,1,1.29,69,7.6
35,88768,1,1,0.64,84,8.7
36,83675,1,1,1.16,85,7.6
37,36217,1,1,0.91,77,7.1
38,53568,1,1,0.92,49,5.2
39,37382,1,1,1.74,72,9.0
40,83445,1,1,1.09,88,8.3
41,92015,1,1,0.79,71,8.1
42,87545,1,1,1.66,80,6.0
43,81233,1,1,0.23,75,7.4
44,48927,1,1,0.0,72,7.5
45,76356,1,1,1.41,87,8.6
46,62829,1,1,0.82,72,7.5
47,84320,1,1,0.81,83,7.9
48,35369,1,1,0.76,77,6.3
49,99049,1,1,0.45,84,8.0
50,19971,1,1,0.99,69,8.0
51,46487,1,1,1.15,96,9.2
52,21626,1,1,0.8,53,6.7
53,17348,1,1,1.07,84,8.1
54,79534,1,1,1.4,90,8.0
55,99138,1,1,0.6,80,6.9
56,34662,1,1,0.0,72,7.5
57,27369,1,1,0.47,57,6.9
58,71737,1,1,0.43,72,7.5
59,76955,1,1,1.33,86,8.8
60,69683,1,1,0.53,72,7.5
61,54840,1,1,0.73,64,7.8
62,14419,1,1,1.23,76,7.9
63,97121,1,1,0.58,83,8.6
64,98781,1,1,0.24,78,7.1
65,15302,1,1,1.22,74,8.4
66,59553,1,1,1.09,79,7.1
67,60431,1,1,1.07,63,6.0
68,32728,1,1,0.46,67,7.3
69,14262,1,1,1.01,79,8.4
70,96215,1,1,0.49,75,7.3
71,16457,1,1,0.59,72,7.5
72,51513,1,1,1.01,71,8.4
73,73303,1,1,0.24,72,7.5
74,94919,1,1,0.72,70,7.0
75,25164,1,1,0.99,75,8.6
76,39741,1,1,0.74,76,7.9
77,90537,1,1,0.38,87,8.2
78,68468,1,1,0.97,85,8.9
79,47970,1,1,0.41,43,4.1
80,48693,1,1,0.81,50,4.7
81,62761,1,1,0.12,72,7.5
82,65442,1,1,0.0,72,7.5
83,59282,1,1,0.05,77,8.1
84,86151,1,1,0.89,75,8.3
85,28325,1,1,0.96,47,5.0
86,53659,1,1,0.89,82,7.4
87,31183,1,1,0.88,75,8.5
88,19004,1,1,0.81,81,9.0
89,67168,1,1,0.87,73,8.7
90,82177,1,1,0.44,46,4.4
91,86434,1,1,0.97,83,8.7
92,37872,1,1,0.0,72,7.5
93,65401,1,1,0.08,72,7.5
94,33810,1,1,0.37,75,8.3
95,45748,1,1,0.09,72,7.5
96,98177,1,1,0.85,54,2.1
97,36498,1,1,0.75,84,9.1
